23,1,1962,34.2,27.6,22.64,18.6,86.25
24,1,1962,0.4,26.8,22.56,19.4,88
25,1,1962,11.6,29.6,22.46,19.2,79
26,1,1962,27.4,28,21.48,18.8,80
27,1,1962,19,26.8,21.32,18.6,85
28,1,1962,14,28.3,22.5,19,79.5
29,1,1962,0.2,26.8,22.38,19.2,77.5
30,1,1962,25.7,28.5,20.9,17.2,83
31,1,1962,29.5,27.2,21.7,17.1,71
1,2,1962,0,28.2,22.42,18.5,77.25
2,2,1962,0.8,26,21.58,19,88.75
3,2,1962,0.8,27.8,22.72,17.6,73.25
4,2,1962,0,26.4,23.1,19,73.5
5,2,1962,65,24.8,21.82,20,85.25
6,2,1962,14.2,25,20.44,18.8,90.25
7,2,1962,70.4,26.2,21.88,18.2,79.75
8,2,1962,2.8,NaN,NaN,19.4,NaN
9,2,1962,27.6,NaN,NaN,17.8,NaN
10,2,1962,36,29.1,22.06,18.4,85
11,2,1962,7,24.6,21.3,19,95.25
12,2,1962,0.7,NaN,NaN,18.6,NaN
13,2,1962,0,27.6,23.68,19.2,79.5
14,2,1962,0,28.5,23.46,20.4,76.75
15,2,1962,1,27.8,22.94,20.6,78.25
16,2,1962,0,28.2,23.16,18.4,69.75
17,2,1962,0,31,24.22,20.2,69.5
18,2,1962,0,30.6,25.08,19.2,65.5
19,2,1962,1.4,29.7,23.64,20.2,76.75
20,2,1962,16.6,26.6,22.22,18.4,78.5
21,2,1962,0,29.8,24.24,19.4,68
22,2,1962,0,29.4,24.14,19.8,68.5
23,2,1962,16,27.6,22.76,18,80.5
24,2,1962,0.3,28,22.6,20,80.5
25,2,1962,15.2,28,22.2,19,82.25
26,2,1962,3.6,24.2,20.76,17.8,86
27,2,1962,0,23.6,21.04,18.8,78
28,2,1962,0,25.6,21,18.6,73.25
1,3,1962,0,25.9,21.28,17.2,68.25
2,3,1962,0,26.3,22.06,18.2,71.5
3,3,1962,20.4,22.6,20.4,18,94.25
4,3,1962,3.4,27.2,21.6,18.8,83.75
5,3,1962,4,24,21.44,18.2,84.5
6,3,1962,13.5,26.2,21.22,18.2,87.25
7,3,1962,18,29.5,22.76,19.4,82.5
8,3,1962,0,29.6,23.64,19.4,77.25
9,3,1962,0,27,22.4,19.4,76.5
10,3,1962,0,28.2,22.72,18.2,72.75
11,3,1962,0,27.3,22.56,19.6,76.25
12,3,1962,0,26.5,22.3,20,75.5
13,3,1962,0.4,26.4,22.04,19.2,77.75
14,3,1962,0,26.9,22.38,18.1,69.5
15,3,1962,0,27.2,22.48,18.2,69.75
16,3,1962,0,26.1,22.22,18.8,70.25
17,3,1962,0,27,22.76,19.4,65.5
18,3,1962,0,26.7,22.02,18.4,69
19,3,1962,0,28.1,22.82,19,NaN
20,3,1962,NaN,NaN,23.56,NaN,65.25
21,3,1962,1.6,28.2,22.84,20,78.75
22,3,1962,1,28.6,22.52,18,67.25
23,3,1962,35.4,28.8,23.24,17.4,66.75
24,3,1962,0,29.4,23.4,20,68
25,3,1962,0,27.2,22,18.4,66.5
26,3,1962,0,27.2,22.16,18.2,63.75
27,3,1962,0,27.4,22.68,18.2,66
28,3,1962,0,28.2,22.64,18.4,68.25
29,3,1962,0,28.3,23.1,18.8,64
30,3,1962,0,27.6,23.12,19,65.5
31,3,1962,0,27.8,22.52,19,74.75
1,1,1963,11.3,27.8,23.12,18.4,81
2,1,1963,12.5,28.2,23.26,19.6,77.25
3,1,1963,4.1,NaN,NaN,18.8,NaN
4,1,1963,0,31.9,25,19.9,66.5
5,1,1963,0,30.1,24.46,19.8,65.5
6,1,1963,0,29.2,23.9,19.3,66.5
7,1,1963,1.4,27.8,22.5,19.1,84.5
8,1,1963,0.9,30.5,NaN,NaN,70.5
9,1,1963,0,29.6,NaN,NaN,64.75
10,1,1963,0,29.5,24.4,19.1,71.25
11,1,1963,0,29.1,24.4,20.3,64.5
12,1,1963,0,28.6,23.4,19.8,59.5
13,1,1963,0,29.7,23.96,19.3,63
14,1,1963,0,30,24.1,19.1,60.5
15,1,1963,0,28.6,23.2,20.2,72
16,1,1963,0,27.4,22.88,20,64.25
17,1,1963,0,31.6,25.86,20.8,56.25
18,1,1963,0,31.8,26.54,21.3,54.75
19,1,1963,0,30.2,NaN,NaN,68
