19,6,1961,2.4,10.5,0,23,16.56,13,70.5,4.6
20,6,1961,1.8,10.4,0,25.9,18.22,12.8,68,1.2
21,6,1961,2.3,8.8,0,27.2,18.84,12,64.25,0.66667
22,6,1961,2.7,10.6,0,27.4,19.92,12.6,57.25,1.1667
23,6,1961,3.8,8.8,0,25.4,19.02,15.4,73,2.1667
24,6,1961,2.4,8.8,0,23.3,18.02,13.6,62,3.6333
25,6,1961,3.2,8.4,0,22.4,17.96,14.6,65.25,4.8333
26,6,1961,3.1,8.3,0,22.2,17.16,14.2,76.25,4.6333
27,6,1961,2,2.1,0,20.6,16.98,13.6,73.5,4
28,6,1961,2,9.1,0,23.7,18.06,14.2,64.25,4.2
29,6,1961,2.5,7.1,0,25,17.92,12.6,65,3.3333
30,6,1961,2.7,6.3,0,22.2,17.54,11.8,70.75,2.5
1,4,1962,3,7.5,1.4,27.6,22.48,19.4,73.25,1.6667
2,4,1962,3.2,7.3,0,28.7,22.62,18.8,77.5,1.6667
3,4,1962,3.5,4.6,0.6,29.6,23.04,19.2,74.25,0.66667
4,4,1962,3.3,7.1,8.4,27.6,22.08,18.6,70.75,2.4667
5,4,1962,3.9,7.6,0,26.9,20.82,17,69.5,0
6,4,1962,3.2,9.3,0,27.4,20.72,16,68.25,1.6667
7,4,1962,3,11.3,0,26.2,20.28,15,70.5,1.2
8,4,1962,3.2,10.2,0,27.4,20.84,15.6,66,1.5
9,4,1962,3.2,10.9,0,28.2,22.12,15.4,58,1.1667
10,4,1962,4.4,7.7,0,29,23.32,17.4,59.5,0.66667
11,4,1962,4,3.2,0.5,26,21.24,18,75.25,2.1667
12,4,1962,2.9,7.9,0,27.6,22.62,18.2,64.25,3.1667
13,4,1962,3.1,7.5,0,27.2,22.28,17.8,62.5,2.7667
14,4,1962,3.9,8.2,0,26.6,21.64,17.6,63.5,0.66667
15,4,1962,3.8,9.5,0,26,20.68,16,63.75,1.6667
16,4,1962,3.9,11.1,0,27,21.3,15.2,57.75,2
17,4,1962,4.5,10.7,0,28.8,22,15.6,52.25,1.5333
18,4,1962,4.4,9.3,0,NaN,NaN,16.8,NaN,2.75
19,4,1962,4.2,1.1,0,26.2,21.44,18,72.75,0.6
