24,10,1961,5.8,4.6,5.8,6.6,9.6,7.9,10.1,10.3,0,0,0,0,28.6,31.6,28.4,30.1,22.68,21.84,22.52,22.56,18.2,15.1,14,15.6,54.25,74.25,50.25,63.5,3.7,3,3.6667,1.6667
25,10,1961,5.2,4,7.1,5.5,10.2,7.8,10.2,10.1,0,0,0,0,31.6,31.7,31.1,32.2,24.2,NaN,24.68,23.2,18.2,NaN,20,15.8,47.25,74,48.25,62,1.9667,1.3333,3,0.66667
26,10,1961,5,4.1,5.8,5.9,2.5,0,1.9,0,0,0,0,0,28,25.7,27.2,27.3,23.52,20.24,21.56,22.1,20.2,14.6,17.1,16,59.5,84,74,67.75,1.2,0.33333,0.66667,0.66667
27,10,1961,4.6,2,3.2,3.4,0,0,0,0,0,6.2,0,0,23.1,24,24.2,23.7,19.66,19.94,20.02,20.04,17.6,16.8,16.1,15.1,84.75,92,83.5,86.75,1.8333,2,1.3333,1.6667
28,10,1961,1.3,0.7,1.6,0.7,0,0.7,0,0,18.4,18.4,19.8,21.7,19.4,24.2,20.5,21.3,17.88,19.22,18.9,18.32,16.2,17,17.2,15.1,80.75,87.75,74.75,84.5,3.8333,3,2.6667,1
29,10,1961,1.7,1.3,2.5,1.6,0.4,0,0.3,0,1.7,1.3,0.8,1.5,25.3,26.6,25.3,25.4,21.14,21.14,21.22,20.76,17.8,17.8,17.3,15.3,71.25,85.5,68.75,81,5.1667,1.3333,2.3333,1
30,10,1961,2.7,1.7,3.5,2.8,3.5,4.8,2.8,6.5,0,0.7,0,0,25.4,27.9,25.9,28.2,21,20.9,21.24,21.14,17.6,17.2,18.4,15.9,65.75,77.25,63.75,73.5,4.5,1.3333,3,3
31,10,1961,3.6,3.1,3.8,5,11.3,9.2,10.4,11.4,0,0,0,0,27.8,28.9,27.6,28.9,21.44,21.02,21.96,21.66,17,15.2,17.3,14.2,57.5,73.25,57,67.25,5.3333,2,3.6667,2.6667
1,11,1961,4.5,4.3,5.7,4.9,8.9,7.7,6.9,7.1,0,0,0,0,30.1,30.8,29.1,30.5,22.9,21.86,23.68,22.82,18,15.2,19.8,16,55.5,77.5,55.5,67,5.9,2,3.6667,2.3333
2,11,1961,4.7,3.6,6.1,5.1,10.5,6.5,9.9,10.2,0,0,0,0,26.8,29.4,27.4,29.9,21.8,20.84,22.36,22.1,17.6,14.4,18.4,15.3,61.75,77,57.25,67.75,4.3333,2,3.6667,3
3,11,1961,4.1,3.4,5.5,5.4,6.7,4.7,5.9,5.6,0,0,0,0,29.5,29.2,28.4,30.1,22.66,21.64,22.98,22.68,17.6,14.6,19.5,15.1,59,74.5,57.5,65.5,2.6667,2,3,0.66667
4,11,1961,3.9,3.2,4.6,4.2,0.4,0.4,0.6,0,0,1.4,0.8,0,23,23.2,23.1,25,20.8,19.86,20.26,21.26,19,18.2,18.9,17.6,73.25,92.75,84,79.75,0.86667,1.3333,1,0
5,11,1961,1.3,0.9,1.4,1.5,7.3,7.9,7.3,7.6,8.9,1,5.7,2.1,29.6,30.7,30.3,32,22.98,22.4,22.32,23.96,17.5,17.4,17.2,16.1,68.25,82.25,75.75,69.25,0,0.66667,0.66667,3.3333
6,11,1961,2.9,3.4,4,4.5,6.3,7.7,8.1,8.9,2,13.8,0,0.1,29.9,31.6,31,31.4,22.66,22.74,22.32,23.18,18.4,17.6,17.2,16,85.5,84.25,80.25,78.5,2.3333,2,2,2.6667
7,11,1961,2.5,2.7,3.4,4.1,2.4,2.8,2.4,1.4,8.7,13.8,1.4,1.4,26.8,28.2,27.3,27.4,22.38,22.22,21.94,22.38,19.8,19.2,19.3,18.4,82.25,89.25,87.75,83.5,0,0.66667,0.33333,1.3333
8,11,1961,1.5,1.8,2,2.2,10.4,7.6,8.7,9.5,0.5,0,3.1,0.5,30.6,32.3,31.4,33.5,23.8,24.58,24.22,24.54,19.4,18.6,17.5,17.6,69.25,75.5,65.5,72.75,3.1667,1.3333,1.3333,1.3333
9,11,1961,3.4,3.3,4.2,4.1,10,9.5,10.3,8.9,0.1,0,0,0,31.2,32.1,31,32.1,24.16,24.24,24.4,24.5,19.2,18.9,18.3,17.8,60.25,71,57.25,66.75,3.1333,1,3.6667,2.3333
10,11,1961,4.3,3.8,6,5.2,10.9,9.2,10.1,11.3,0,0,0,0,31.2,31.7,31,32.6,24.72,22.94,23.66,24.28,18.2,15.8,19.1,16.1,55.25,75.75,64,67,0.86667,0.66667,2,2.3333
11,11,1961,4.7,3.8,4.7,5.9,3.4,5.9,6.7,6.7,0,0.1,0,0,30.2,32,31.8,33.1,24.88,25.02,24.7,24.96,21,18.2,18.3,18.2,73.5,76.25,70.25,74,0,2,2,1.6667
12,11,1961,2.3,3.7,3.3,3.9,0.6,0.3,0.2,0.6,37.6,48.5,107.2,9.2,26.4,27.8,25.4,26.6,21.04,21.56,20.46,22.14,18.4,18.6,18.2,17.2,78.75,89.75,87,82,0.83333,1,0.66667,1
13,11,1961,1.3,1.6,1.2,2.1,0,1.5,1.5,0,19.8,24.2,38.9,1,21.8,24.5,25.3,26.7,19.92,20.2,20.58,20.9,17.6,17.8,17.4,16.7,90,96,90.5,90.25,1.5,0.33333,1,0.66667
