----- Grupo 1 -----
Aprendiz 14 91.73pts:  ->Erro Absoluto:2.2075 || ->Erro Relativo:0.0827 || ->Criterion: poisson        ||  ->Spliter:  best    ||  ->Max_depth: 20  ||  ->Min_samples_leaf: 1    ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 15 92.14pts:  ->Erro Absoluto:2.0934 || ->Erro Relativo:0.0786 || ->Criterion: poisson        ||  ->Spliter:  best    ||  ->Max_depth: 30  ||  ->Min_samples_leaf: 1    ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 16 93.39pts:  ->Erro Absoluto:1.774  || ->Erro Relativo:0.0661 || ->Criterion: squared_error  ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 1    ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 17 91.0pts:   ->Erro Absoluto:2.4183 || ->Erro Relativo:0.09   || ->Criterion: squared_error  ||  ->Spliter:  random  ||  ->Max_depth: 20  ||  ->Min_samples_leaf: 1    ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 18 90.87pts:  ->Erro Absoluto:2.4552 || ->Erro Relativo:0.0913 || ->Criterion: squared_error  ||  ->Spliter:  random  ||  ->Max_depth: 30  ||  ->Min_samples_leaf: 1    ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 19 93.31pts:  ->Erro Absoluto:1.793  || ->Erro Relativo:0.0669 || ->Criterion: friedman_mse   ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 1    ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 20 91.01pts:  ->Erro Absoluto:2.4181 || ->Erro Relativo:0.0899 || ->Criterion: friedman_mse   ||  ->Spliter:  random  ||  ->Max_depth: 20  ||  ->Min_samples_leaf: 1    ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 21 90.9pts:   ->Erro Absoluto:2.4463 || ->Erro Relativo:0.091  || ->Criterion: friedman_mse   ||  ->Spliter:  random  ||  ->Max_depth: 30  ||  ->Min_samples_leaf: 1    ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 22 92.06pts:  ->Erro Absoluto:2.1049 || ->Erro Relativo:0.0794 || ->Criterion: poisson        ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 1    ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 23 91.78pts:  ->Erro Absoluto:2.1704 || ->Erro Relativo:0.0822 || ->Criterion: poisson        ||  ->Spliter:  random  ||  ->Max_depth: 20  ||  ->Min_samples_leaf: 1    ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 24 91.06pts:  ->Erro Absoluto:2.348  || ->Erro Relativo:0.0894 || ->Criterion: poisson        ||  ->Spliter:  random  ||  ->Max_depth: 30  ||  ->Min_samples_leaf: 1    ||  ->Max_features: None  ||  ->Max_leaf_nodes: None

----- Grupo 4 -----
Aprendiz 25 93.81pts:  ->Erro Absoluto:1.6617 || ->Erro Relativo:0.0619 || ->Criterion: squared_error  ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 26 93.75pts:  ->Erro Absoluto:1.6802 || ->Erro Relativo:0.0625 || ->Criterion: squared_error  ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 27 93.81pts:  ->Erro Absoluto:1.6625 || ->Erro Relativo:0.0619 || ->Criterion: friedman_mse   ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 28 93.74pts:  ->Erro Absoluto:1.6824 || ->Erro Relativo:0.0626 || ->Criterion: friedman_mse   ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 29 92.67pts:  ->Erro Absoluto:1.9569 || ->Erro Relativo:0.0733 || ->Criterion: poisson        ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 30 92.78pts:  ->Erro Absoluto:1.9312 || ->Erro Relativo:0.0722 || ->Criterion: poisson        ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: None  ||  ->Max_leaf_nodes: None


Aprendiz 32 93.84pts:  ->Erro Absoluto:1.6521 || ->Erro Relativo:0.0616 || ->Criterion: squared_error  ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 33 93.88pts:  ->Erro Absoluto:1.6427 || ->Erro Relativo:0.0612 || ->Criterion: squared_error  ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 34 93.84pts:  ->Erro Absoluto:1.6521 || ->Erro Relativo:0.0616 || ->Criterion: friedman_mse   ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 35 93.88pts:  ->Erro Absoluto:1.6426 || ->Erro Relativo:0.0612 || ->Criterion: friedman_mse   ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 36 91.68pts:  ->Erro Absoluto:2.2255 || ->Erro Relativo:0.0832 || ->Criterion: poisson        ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: None  ||  ->Max_leaf_nodes: None
Aprendiz 37 91.89pts:  ->Erro Absoluto:2.1659 || ->Erro Relativo:0.0811 || ->Criterion: poisson        ||  ->Spliter:  best    ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: None  ||  ->Max_leaf_nodes: None

----- Grupo 5 -----
Aprendiz 38 93.82pts:  ->Erro Absoluto:1.6599 || ->Erro Relativo:0.0618 || ->Criterion: squared_error  ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 50   ||  ->Max_features: auto  ||  ->Max_leaf_nodes: None
Aprendiz 39 93.76pts:  ->Erro Absoluto:1.6778 || ->Erro Relativo:0.0624 || ->Criterion: squared_error  ||  ->Spliter:  random  ||  ->Max_depth: 10  ||  ->Min_samples_leaf: 100  ||  ->Max_features: auto  ||  ->Max_leaf_nodes: None
