12 -> Machine Learning: Nenhum  ||  Triangulação: Regional Weight  || Meta Learning: Support Vector  |Resultados para 1 testes| --> Erro Absoluto: 0.0005206281718979606  |  Erro Relativo: 1.7013992545684986e-05  |  Erro(%): 0.05206281718979606  |  R2: 0.3123673215372029
13 -> Machine Learning: Nenhum  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Decision Trees  |Resultados para 1 testes| --> Erro Absoluto: 0.004405286343612335  |  Erro Relativo: 0.00014396360600040311  |  Erro(%): 0.4405286343612335  |  R2: -0.14925107832141427
14 -> Machine Learning: Nenhum  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Neural network  |Resultados para 1 testes| --> Erro Absoluto: 0.011973089670868506  |  Erro Relativo: 0.00039127744022446093  |  Erro(%): 1.1973089670868506  |  R2: -2.027405548193074
15 -> Machine Learning: Nenhum  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Nearest Neighbors  |Resultados para 1 testes| --> Erro Absoluto: 0.0016740088105726672  |  Erro Relativo: 5.4706170280152515e-05  |  Erro(%): 0.16740088105726672  |  R2: 0.23208723998552283
16 -> Machine Learning: Nenhum  ||  Triangulação: Optimized Normal Ratio  || Meta Learning: Support Vector  |Resultados para 1 testes| --> Erro Absoluto: 0.0007212461815495629  |  Erro Relativo: 2.3570136651946496e-05  |  Erro(%): 0.07212461815495629  |  R2: 0.2717723421505075
17 -> Machine Learning: Decision Trees  ||  Triangulação: Arithmetic Average  || Meta Learning: Decision Trees  |Resultados para 1 testes| --> Erro Absoluto: 0.00466666666666667  |  Erro Relativo: 0.00014492753623188414  |  Erro(%): 0.46666666666666695  |  R2: 0.13752596875823164
18 -> Machine Learning: Decision Trees  ||  Triangulação: Arithmetic Average  || Meta Learning: Neural network  |Resultados para 1 testes| --> Erro Absoluto: 0.04018055878514359  |  Erro Relativo: 0.0012478434405324094  |  Erro(%): 4.0180558785143585  |  R2: -0.004038623156343846
19 -> Machine Learning: Decision Trees  ||  Triangulação: Arithmetic Average  || Meta Learning: Nearest Neighbors  |Resultados para 1 testes| --> Erro Absoluto: 0.05698844444444445  |  Erro Relativo: 0.0017698274672187718  |  Erro(%): 5.698844444444445  |  R2: -0.07924223969729538
20 -> Machine Learning: Decision Trees  ||  Triangulação: Arithmetic Average  || Meta Learning: Support Vector  |Resultados para 1 testes| --> Erro Absoluto: 0.04546518464462251  |  Erro Relativo: 0.001411962256044177  |  Erro(%): 4.546518464462251  |  R2: 0.0576704813221125
21 -> Machine Learning: Decision Trees  ||  Triangulação: Inverse Distance Weighted  || Meta Learning: Decision Trees  |Resultados para 1 testes| --> Erro Absoluto: 0.07075111111111113  |  Erro Relativo: 0.0021972394755003454  |  Erro(%): 7.075111111111113  |  R2: -0.035797017031625744
22 -> Machine Learning: Decision Trees  ||  Triangulação: Inverse Distance Weighted  || Meta Learning: Neural network  |Resultados para 1 testes| --> Erro Absoluto: 0.0398205652802043  |  Erro Relativo: 0.001236663518018767  |  Erro(%): 3.98205652802043  |  R2: 0.0033496284739013005
23 -> Machine Learning: Decision Trees  ||  Triangulação: Inverse Distance Weighted  || Meta Learning: Nearest Neighbors  |Resultados para 1 testes| --> Erro Absoluto: 0.043616  |  Erro Relativo: 0.0013545341614906831  |  Erro(%): 4.3616  |  R2: -0.020291220603159132
24 -> Machine Learning: Decision Trees  ||  Triangulação: Inverse Distance Weighted  || Meta Learning: Support Vector  |Resultados para 1 testes| --> Erro Absoluto: 0.04467368670128697  |  Erro Relativo: 0.0013873815745741294  |  Erro(%): 4.467368670128697  |  R2: 0.05246075874022704
25 -> Machine Learning: Decision Trees  ||  Triangulação: Regional Weight  || Meta Learning: Decision Trees  |Resultados para 1 testes| --> Erro Absoluto: 0.0031111111111111157  |  Erro Relativo: 9.661835748792284e-05  |  Erro(%): 0.31111111111111156  |  R2: -0.04391890850321545
