2001, 8, 14, '22.508333', '33', '23', '1.266667', ''
2001, 8, 15, '22.791667', '33.7', '23.7', '1.2', ''
2001, 8, 16, '22.0625', '33.8', '23.6', '1.716667', ''
2001, 8, 17, '21.575', '34.5', '24.3', '1.358333', ''
2001, 8, 18, '22.441667', '33.9', '22.9', '1.058333', ''
2001, 8, 19, '22.154167', '35', '24.6', '1.308333', ''
2001, 8, 20, '22.866667', '34.2', '24.9', '1.354167', ''
2001, 8, 21, '22.783333', '34', '24.5', '1.458333', ''
2001, 8, 22, '23.066667', '35.2', '23.9', '1.158333', ''
2001, 8, 23, '21.929167', '33.6', '22.9', '1.283333', ''
2001, 8, 24, '22.729167', '28.1', '23.4', '.795833', ''
2001, 8, 25, '23.095833', '33.1', '23.1', '.983333', ''
2001, 8, 26, '22.654167', '34.6', '23.6', '1.141667', ''
2001, 8, 27, '21.483333', '35.2', '24.8', '1.3875', ''
2001, 8, 28, '21.270833', '35.5', '23.7', '1.245833', ''
2001, 8, 29, '21.804167', '35.2', '24.4', '1.333333', ''
2001, 8, 30, '21.978261', '35.3', '25.4', '1.66087', ''
2001, 8, 31, '22.404167', '35.3', '25', '1.4125', ''
2001, 9, 1, '22.983333', '33.9', '24.5', '1.545833', ''
2001, 9, 2, '22.529167', '34.8', '24.2', '1.2375', ''
2001, 9, 3, '22.141667', '33.7', '23.7', '1.2', ''
2001, 9, 4, '22.579167', '34.6', '23.6', '1.0875', ''
2001, 9, 5, '22.470833', '35', '23.8', '1.391667', ''
2001, 9, 6, '23.075', '33', '23.4', '.970833', ''
2001, 9, 7, '23.054167', '32.3', '23.8', '1.5125', ''
2001, 9, 8, '22.204167', '31.1', '23.3', '2.025', ''
2001, 9, 9, '22.858333', '32.5', '23.8', '1.066667', ''
2001, 9, 10, '22.533333', '33.6', '22.5', '1.208333', ''
2001, 9, 11, '22.816667', '34.6', '23', '.970833', ''
2001, 9, 12, '23.145833', '33.2', '23.3', '1.083333', ''
2001, 9, 13, '22.791667', '32.4', '24.4', '1.35', ''
2001, 9, 14, '22.254167', '33.9', '23.9', '1.341667', ''
2001, 9, 15, '22.345833', '33.6', '23.7', '1.3', ''
2001, 9, 16, '22.3125', '32.8', '23', '.75', ''
2001, 9, 17, '22.416667', '32.1', '23.8', '1.316667', ''
2001, 9, 18, '22.333333', '32.6', '23.2', '1.095833', ''
2001, 9, 19, '22.670833', '32.4', '23.2', '.9', ''
