'2012';'7';'12';'9.8';'29.3';'21.9';'.8';'29.4';'23';'15.6';'29.4';'21.6';'.2';'28.5';'24.8';
'2012';'7';'13';'11.5';'30.7';'21.5';'1.8';'31';'23.2';'10.6';'31.5';'23';'0';'29.9';'23.2';
'2012';'7';'15';'9.2';'29.3';'21.9';'12.6';'31';'23';'13.8';'30.5';'21.1';'66';'29.5';'21.6';
'2012';'7';'17';'6.7';'30.1';'21.5';'1.6';'31.6';'22.4';'23';'30.7';'21.8';'5.2';'30.6';'23.4';
'2012';'7';'18';'0';'30.9';'21.5';'0';'31.6';'24.2';'1.2';'31.9';'22.5';'2.4';'30.9';'22.6';
'2012';'7';'19';'9.8';'30.3';'21.3';'0';'31.4';'24';'0';'33';'23.2';'.2';'31.1';'24.2';
'2012';'7';'20';'11.4';'30';'21.5';'2.2';'31';'24';'1.2';'32.4';'22.2';'19.4';'29.3';'21.4';
'2012';'7';'23';'0';'31.3';'22.1';'0';'31.6';'24';'0';'33.3';'22.5';'0';'31.8';'23.8';
'2012';'8';'1';'0';'33.9';'22.7';'0';'32.4';'23.6';'0';'34.7';'22.4';'0';'34.2';'23.9';
'2012';'8';'10';'6.4';'30.3';'22';'1.8';'31';'23.2';'6.6';'31.7';'22.3';'1';'29.1';'24.1';
'2012';'8';'14';'0';'32.1';'22.7';'0';'32';'23.8';'0';'35.7';'22';'0';'32.9';'25.4';
'2012';'8';'17';'0';'32.1';'21.9';'0';'32';'23.6';'0';'33.6';'22';'0';'32.8';'25.2';
'2012';'8';'18';'0';'32.7';'21.8';'0';'32.6';'23.6';'0';'35';'21.6';'0';'33.1';'24.7';
'2012';'8';'23';'0';'32.3';'22.4';'0';'32.4';'24';'0';'34.2';'22.2';'0';'32.1';'25.2';
'2012';'9';'3';'0';'33';'23.1';'0';'32.9';'23.4';'0';'35.1';'22.4';'0';'33.2';'24.7';
'2013';'1';'12';'1.4';'29.9';'21.9';'0';'31.6';'23.4';'0';'31.4';'23.7';'11.4';'31.1';'24.2';
'2013';'1';'13';'28.4';'29.3';'21.3';'29.8';'32.4';'24.2';'13.4';'29.7';'22.6';'6.4';'30';'23.8';
'2013';'1';'14';'5.2';'29';'22';'31.4';'30';'22.6';'50.2';'30.3';'21.7';'9.2';'29.3';'23.9';
'2013';'1';'15';'18.6';'28.7';'22.1';'30.5';'30.2';'22.8';'15.8';'30.4';'21.5';'16.4';'30.1';'22.3';
'2013';'1';'16';'14.2';'28.9';'21.3';'23.6';'31.6';'23.2';'1';'31.3';'22.7';'6.6';'30';'23.1';
'2013';'1';'17';'2.9';'30.6';'21.9';'13.4';'30.6';'22.2';'16.8';'31.2';'23.4';'40';'28.9';'22.6';
'2013';'1';'18';'0';'31.4';'22.2';'0';'32';'24.1';'.8';'31.4';'23.3';'1.2';'32.3';'23.7';
'2013';'1';'19';'1.4';'28.9';'23.1';'0';'31';'23.2';'10.4';'26.9';'23.2';'65.2';'26';'23.8';
'2013';'1';'20';'3.4';'31.3';'21.8';'.1';'31.4';'23.2';'8.4';'28.7';'22.6';'12';'30.5';'23.8';
'2013';'1';'21';'0';'31.9';'22.3';'0';'32';'23.8';'0';'33.2';'22.7';'0';'32.7';'24.2';
'2013';'1';'22';'0';'31.6';'22.3';'0';'32.6';'24';'0';'33.4';'23.3';'0';'32.4';'25';
'2013';'1';'23';'0';'31.4';'22.8';'.8';'31.6';'23.8';'2.6';'30.7';'23.9';'.2';'29.3';'25.2';
'2013';'1';'24';'13.7';'30.6';'21.3';'1';'31.6';'23.6';'51';'29.7';'21.7';'93';'25.6';'23.4';
'2013';'1';'25';'1';'30.1';'21.7';'0';'30.8';'24';'.4';'31.7';'22.2';'8.4';'31.1';'22.9';
